date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:04:39	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-ceb14eaddefb5f29;gz%22	https://www.printus.com.br/robots.txt		(from )
17:04:39	47690/47690	---MCZ	200	added ('OK')	text/html	etag:%22ba4a-69d5af3f-aae4ad7b94301e5f;gz%22	https://www.printus.com.br/	C:/Users/mateu/Downloads/ite/ProjetoADM/www.printus.com.br/index.html	(from )
17:04:39	48/48	---M--	302	error ('Found')	text/plain	date:Thu,%2004%20Jun%202026%2020:04:41%20GMT	https://unpkg.com/lucide@latest/dist/umd/lucide.js	C:/Users/mateu/Downloads/ite/ProjetoADM/unpkg.com/lucide@latest/dist/umd/lucide.0.delayed	(from https://www.printus.com.br/)
17:04:40	601680/601680	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2028%20May%202026%2008:22:30%20GMT	https://unpkg.com/lucide@1.17.0/dist/umd/lucide.js	C:/Users/mateu/Downloads/ite/ProjetoADM/unpkg.com/lucide@1.17.0/dist/umd/lucide.js	(from https://www.printus.com.br/)
17:04:40	39280/39280	---M-Z	200	added ('OK')	text/css	etag:%229970-69d5b287-e7af102c323badd8;gz%22	https://www.printus.com.br/css/styles.css	C:/Users/mateu/Downloads/ite/ProjetoADM/www.printus.com.br/css/styles.css	(from https://www.printus.com.br/)
17:04:41	151089/151089	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202026%2020:04:42%20GMT	https://www.printus.com.br/printus.png	C:/Users/mateu/Downloads/ite/ProjetoADM/www.printus.com.br/printus.png	(from https://www.printus.com.br/)
17:04:42	2003425/2003425	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202026%2020:04:43%20GMT	https://www.printus.com.br/instagram.png	C:/Users/mateu/Downloads/ite/ProjetoADM/www.printus.com.br/instagram.png	(from https://www.printus.com.br/)
17:04:42	1919419/1919419	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202026%2020:04:44%20GMT	https://www.printus.com.br/facebook.png	C:/Users/mateu/Downloads/ite/ProjetoADM/www.printus.com.br/facebook.png	(from https://www.printus.com.br/)
17:04:43	1818350/1818350	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202026%2020:04:44%20GMT	https://www.printus.com.br/youtube.png	C:/Users/mateu/Downloads/ite/ProjetoADM/www.printus.com.br/youtube.png	(from https://www.printus.com.br/)
17:04:43	1489926/1489926	---M--	200	added ('OK')	image/png	date:Thu,%2004%20Jun%202026%2020:04:45%20GMT	https://www.printus.com.br/tiktok.png	C:/Users/mateu/Downloads/ite/ProjetoADM/www.printus.com.br/tiktok.png	(from https://www.printus.com.br/)
17:04:43	11685/11685	---M-Z	200	added ('OK')	application/x-javascript	etag:%222da5-69d59a71-4850187ecbd1267e;gz%22	https://www.printus.com.br/js/main.js	C:/Users/mateu/Downloads/ite/ProjetoADM/www.printus.com.br/js/main.js	(from https://www.printus.com.br/)
